Datum;Woche;Zuschlag Belehnung SARON;Zuschlag Belehnung Fest;Zuschlag Tragbarkeit;Mindestlimite;Alle Abschlüsse;Arbeitstage;Fest 10 Jahre Bank;Fest 10 Jahre Konkurrenz (Min);Zinsvorteil Fest 10 Jahre;Fest 5 Jahre;Fest 5 Jahre Konkurrenz (Min);Zinsvorteil Fest 5 Jahre;Zinskurve;Price to Rent Ratio;Transaktionspreisindex Einfamilienhäuser;SARON 3 Jahre Bank;Aufpreis 10J - 3J SARON;Mietpreisindex;Konsumklima Index;Transaktionspreisindex Eigentumswohnung
16.04.02;16;0;0;0;0;63;8.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;0.64;101.9;-27;231.47
23.04.02;17;0;0;0;0;99;8.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.12;101.9;-27;231.47
30.04.02;18;0;0;0;0;47;9.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.17;102.4;-27;231.47
07.05.02;19;0;0;0;0;32;9.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.17;102.4;-27;231.47
14.05.02;20;0;0;0;0;38;9.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.26;102.4;-27;231.47
21.05.02;21;0;0;0;0;47;9.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.26;102.4;-27;231.47
28.05.02;22;0;0;0;0;64;9.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.26;102.4;-27;231.47
04.06.02;23;0;0;0;0;46;6.775;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.26;102.4;-27;231.47
11.06.02;24;0;0;0;0;69;6.775;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;2.3;102.4;-27;231.47
18.06.02;25;0;0;0;0;89;6.775;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.61;102.4;-27;231.47
25.06.02;26;0;0;0;0;16;6.775;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.66;102.4;-27;231.47
02.07.02;27;0;0;0;0;43;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.48;102.4;-27;234.11
09.07.02;28;0;0;0;0;35;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.29;102.4;-27;234.11
16.07.02;29;0;0;0;0;53;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.37;102.4;-27;234.11
23.07.02;30;0;0;0;0;43;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.38;102.4;-27;234.11
30.07.02;31;0;0;0;0;2;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.13;102.6;-27;234.11
06.08.02;32;0;0;0;0;100;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.27;102.6;-27;234.11
13.08.02;33;0;0;0;0;23;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.33;102.6;-27;234.11
20.08.02;34;0;0;0;0;41;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.33;102.6;-27;234.11
27.08.02;35;0;0;0;0;85;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.51;102.6;-27;234.11
03.09.02;36;0;0;0;0;28;8.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.74;102.6;-27;234.11
10.09.02;37;0;0;0;0;27;8.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.55;1.81;102.6;-27;234.11
17.09.02;38;0;0;0;0;81;8.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.71;1.74;102.6;-27;234.11
24.09.02;39;0;0;0;0;30;8.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.61;216.2300774;0.96;1.57;102.6;-27;234.11
01.10.02;40;0;0;0;0;62;9.675;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;0.99;1.66;102.6;-27;234.74
08.10.02;41;0;0;0;0;21;9.675;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;0.99;1.31;102.6;-27;234.74
15.10.02;42;0;0;0;0;87;9.675;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;0.99;1.56;102.6;-27;234.74
22.10.02;43;0;0;0;0;14;9.675;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1;1.55;102.6;-27;234.74
29.10.02;44;0;0;0;0;77;9.675;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.01;1.49;102.6;-27;234.74
05.11.02;45;0;0;0;0;38;11.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1;1.4;103;-27;234.74
12.11.02;46;0;0;0;0;70;11.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1;1.57;103;-27;234.74
19.11.02;47;0;0;0;0;43;11.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1;1.51;103;-27;234.74
26.11.02;48;0;0;0;0;73;11.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.01;1.39;103;-27;234.74
03.12.02;49;0;0;0;0;79;12.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.01;1.02;103;-27;234.74
10.12.02;50;0;0;0;0;78;12.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.01;0.93;103;-27;234.74
17.12.02;51;0;0;0;0;61;12.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.49;0.45;103;-27;234.74
24.12.02;52;0;0;0;0;1;12.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.54;215.8368613;1.49;0.91;103;-27;234.74
31.12.02;53;0;0;0;0;96;16.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.5;0.9;103;-35.46;236.23
07.01.03;54;0;0;0;0;81;16.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.82;103;-35.46;236.23
14.01.03;55;0;0;0;0;55;16.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.63;103;-35.46;236.23
21.01.03;56;0;0;0;0;7;16.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.61;103;-35.46;236.23
28.01.03;57;0;0;0;0;67;16.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.5;0.62;103;-35.46;236.23
04.02.03;58;0;0;0;0;8;10.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.5;0.59;103.4;-34.8;236.23
11.02.03;59;0;0;0;0;41;12.3;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.77;103.4;-34.8;236.23
18.02.03;60;0;0;0;0;18;12.3;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.5;0.76;103.4;-34.8;236.23
25.02.03;61;0;0;0;0;18;12.3;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.87;103.4;-34.8;236.23
04.03.03;62;0;0;0;0;79;15.2;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.49;0.97;103.4;-37.72;236.23
11.03.03;63;0;0;0;0;93;15.2;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.48;0.76;103.4;-37.72;236.23
18.03.03;64;0;0;0;0;16;15.2;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.46;0.66;103.4;-37.72;236.23
25.03.03;65;0;0;0;0;11;15.2;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.36;216.5960197;1.96;0.25;103.4;-37.72;236.23
01.04.03;66;0;0;0;0;69;12.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.97;0.46;103.4;-37.66;239.28
08.04.03;67;0;0;0;0;89;12.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.96;0.38;103.4;-37.66;239.28
15.04.03;68;0;0;0;0;28;12.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.95;0.49;103.4;-37.66;239.28
22.04.03;69;0;0;0;0;65;12.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.96;0.5;103.4;-37.66;239.28
29.04.03;70;0;0;0;0;82;15.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.96;0.48;103.7;-39.67;239.28
06.05.03;71;0;0;0;0;41;15.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.96;0.41;103.7;-39.67;239.28
13.05.03;72;0;0;0;0;38;15.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.97;0.32;103.7;-39.67;239.28
20.05.03;73;0;0;0;0;48;15.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.99;0.39;103.7;-39.67;239.28
27.05.03;74;0;0;0;0;56;15.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.99;0.43;103.7;-39.67;239.28
03.06.03;75;0;0;0;0;53;10.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;2;0.31;103.7;-39.63;239.28
10.06.03;76;0;0;0;0;68;10.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.99;0.22;103.7;-39.63;239.28
17.06.03;77;0;0;0;0;25;10.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;1.99;0.22;103.7;-39.63;239.28
24.06.03;78;0;0;0;0;77;10.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.36;216.2567198;2.26;0.07;103.7;-39.63;239.28
01.07.03;79;0;0;0;0;48;11.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.26;0.02;103.7;-37.2;238.5
08.07.03;80;0;0;0;0;4;11.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;0.09;103.7;-37.2;238.5
15.07.03;81;0;0;0;0;92;11.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;-0.03;103.7;-37.2;238.5
22.07.03;82;0;0;0;0;68;11.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;-0.05;103.7;-37.2;238.5
29.07.03;83;0;0;0;0;89;11.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;0.06;103.7;-37.2;238.5
05.08.03;84;0;0;0;0;81;14.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;0.02;104.2;-40.62;238.5
12.08.03;85;0;0;0;0;56;14.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;-0.01;104.2;-40.62;238.5
19.08.03;86;0;0;0;0;14;14.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;0.06;104.2;-40.62;238.5
26.08.03;87;0;0;0;0;84;14.575;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.26;0;104.2;-40.62;238.5
02.09.03;88;0;0;0;0;67;15.25;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.26;-0.03;104.2;-50.81;238.5
09.09.03;89;0;0;0;0;89;15.25;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.26;-0.2;104.2;-50.81;238.5
16.09.03;90;0;0;0;0;3;15.25;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;-0.18;104.2;-50.81;238.5
23.09.03;91;0;0;0;0;73;15.25;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.45;217.6517634;2.25;-0.16;104.2;-50.81;238.5
30.09.03;92;0;0;0;0;86;8.25;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.09;104.2;-52.54;241.85
07.10.03;93;0;0;0;0;12;10.325;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.02;104.2;-52.54;241.85
14.10.03;94;0;0;0;0;34;10.325;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.1;104.2;-52.54;241.85
21.10.03;95;0;0;0;0;37;10.325;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.11;104.2;-52.54;241.85
28.10.03;96;0;0;0;0;40;10.325;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.12;104.2;-52.54;241.85
04.11.03;97;0;0;0;0;88;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.29;105.3;-48;241.85
11.11.03;98;0;0;0;0;38;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.28;105.3;-48;241.85
18.11.03;99;0;0;0;0;37;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.31;105.3;-48;241.85
25.11.03;100;0;0;0;0;5;10.425;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.34;105.3;-48;241.85
02.12.03;101;0;0;0;0;96;4.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.39;105.3;-44.38;241.85
09.12.03;102;0;0;0;0;22;4.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.47;105.3;-44.38;241.85
16.12.03;103;0;0;0;0;12;4.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.46;105.3;-44.38;241.85
23.12.03;104;0;0;0;0;47;4.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.88;219.1956037;2.25;-0.55;105.3;-44.38;241.85
30.12.03;105;0;0;0;0;0;6.65;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.55;105.3;-41.05;244.67
06.01.04;106;0;0;0;0;22;6.65;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.42;105.3;-41.05;244.67
13.01.04;107;0;0;0;0;26;6.65;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.43;105.3;-41.05;244.67
20.01.04;108;0;0;0;0;17;6.65;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.43;105.3;-41.05;244.67
27.01.04;109;0;0;0;0;21;6.65;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.25;-0.44;105.3;-41.05;244.67
03.02.04;110;0;0;0;0;56;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.41;106.2;-42.29;244.67
10.02.04;111;0;0;0;0;61;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.41;106.2;-42.29;244.67
17.02.04;112;0;0;0;0;20;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.24;-0.41;106.2;-42.29;244.67
24.02.04;113;0;0;0;0;45;8.35;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.25;-0.43;106.2;-42.29;244.67
02.03.04;114;0;0;0;0;21;9.825;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.25;-0.48;106.2;-38.03;244.67
09.03.04;115;0;0;0;0;6;9.825;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.25;-0.52;106.2;-38.03;244.67
16.03.04;116;0;0;0;0;80;9.825;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2.25;-0.57;106.2;-38.03;244.67
23.03.04;117;0;0;0;0;59;9.825;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.09;220.0882767;2;-0.32;106.2;-38.03;244.67
30.03.04;118;0;0;0;0;62;10.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2.01;-0.33;106.2;-38.06;247.73
06.04.04;119;0;0;0;0;93;10.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2.01;-0.33;106.2;-38.06;247.73
13.04.04;120;0;0;0;0;57;10.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.32;106.2;-38.06;247.73
20.04.04;121;0;0;0;0;77;10.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;1.99;-0.31;106.2;-38.06;247.73
27.04.04;122;0;0;0;0;22;10.55;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.32;106.2;-38.06;247.73
04.05.04;123;0;0;0;0;13;13.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;1.99;-0.31;107.3;-37.99;247.73
11.05.04;124;0;0;0;0;99;13.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.32;107.3;-37.99;247.73
18.05.04;125;0;0;0;0;15;13.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2.01;-0.33;107.3;-37.99;247.73
25.05.04;126;0;0;0;0;21;13.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.32;107.3;-37.99;247.73
01.06.04;127;0;0;0;0;70;11.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.28;107.3;-36.62;247.73
08.06.04;128;0;0;0;0;78;11.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2;-0.23;107.3;-36.62;247.73
15.06.04;129;0;0;0;0;17;11.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;2.01;-0.3;107.3;-36.62;247.73
22.06.04;130;0;0;0;0;14;11.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;124.67;221.6978047;1.76;-0.1;107.3;-36.62;247.73
29.06.04;131;0;0;0;0;29;15.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.08;107.3;-32.4;249.94
06.07.04;132;0;0;0;0;35;15.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.1;107.3;-32.4;249.94
13.07.04;133;0;0;0;0;18;15.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.14;107.3;-32.4;249.94
20.07.04;134;0;0;0;0;42;15.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.17;107.3;-32.4;249.94
27.07.04;135;0;0;0;0;95;15.95;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.23;107.3;-32.4;249.94
03.08.04;136;0;0;0;0;91;11.75;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.3;108.2;-34.56;249.94
10.08.04;137;0;0;0;0;31;11.75;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.37;108.2;-34.56;249.94
17.08.04;138;0;0;0;0;0;11.75;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.26;108.2;-34.56;249.94
24.08.04;139;0;0;0;0;0;11.75;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.24;108.2;-34.56;249.94
31.08.04;140;0;0;0;0;48;14.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.23;108.2;-33.74;249.94
07.09.04;141;0;0;0;0;3;14.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.24;108.2;-33.74;249.94
14.09.04;142;0;0;0;0;78;14.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.27;108.2;-33.74;249.94
21.09.04;143;0;0;0;0;86;14.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.76;-0.27;108.2;-33.74;249.94
28.09.04;144;0;0;0;0;60;14.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.19;225.2954232;1.5;-0.07;108.2;-33.74;249.94
05.10.04;145;0;0;0;0;99;19.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.48;-0.03;108.2;-37.01;252.12
12.10.04;146;0;0;0;0;10;19.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.49;-0.09;108.2;-37.01;252.12
19.10.04;147;30;30;30;0;36;19.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.5;-0.11;108.2;-37.01;252.12
26.10.04;148;30;30;30;0;20;19.85;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.5;-0.11;108.2;-37.01;252.12
02.11.04;149;30;30;30;0;40;14.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.5;-0.1;108.8;-37.23;252.12
09.11.04;150;30;30;30;0;51;14.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.5;-0.15;108.8;-37.23;252.12
16.11.04;151;30;30;30;0;59;14.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.51;-0.19;108.8;-37.23;252.12
23.11.04;152;30;30;30;0;19;14.8;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.51;-0.21;108.8;-37.23;252.12
30.11.04;153;30;30;30;0;20;14.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.49;-0.19;108.8;-30.3;252.12
07.12.04;154;30;30;30;0;91;14.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1.5;-0.2;108.8;-30.3;252.12
14.12.04;155;30;30;30;0;100;14.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1;0.3;108.8;-30.3;252.12
21.12.04;156;30;30;30;0;95;14.5;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.84;226.7288469;1;0.3;108.8;-30.3;252.12
28.12.04;157;30;30;30;0;97;25.6;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.99;0.24;108.8;-29.28;255.48
04.01.05;158;30;30;30;0;2;25.6;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.98;0.3;108.8;-29.28;255.48
11.01.05;159;30;30;30;0;60;25.6;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.99;0.26;108.8;-29.28;255.48
18.01.05;160;5;0;0;0;96;25.6;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;1;0.4;108.8;-29.28;255.48
25.01.05;161;5;0;5;0;46;25.6;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;126.49;230.4;0.98;0.42;108.8;-29.28;255.48
